619,18
649,58
483,76
781,36
606,63
449,86
276,53
405,79
256,74
411,79
683,35
859,42
450,3
680,87
691,84
59,64
606,95
706,52
271,11
640,13
741,91
175,1
411,78
66,13
555,16
359,80
394,99
143,83
865,38
843,74
148,62
887,28
593,45
252,50
621,43
62,71
674,87
235,26
384,26
301,71
290,66
661,57
410,89
265,100
603,14
719,48
542,86
205,8
247,100
523,17
677,16
13,73
441,64
74,70
788,87
13,28
733,78
815,3
75,15
713,14
216,50
267,15
191,29
899,26
871,35
729,86
753,87
463,63
390,62
537,64
444,62
303,52
252,15
310,6
639,49
190,40
125,27
861,65
546,14
875,71
716,95
435,10
897,27
825,13
279,66
484,71
741,31
693,37
130,38
764,89
891,53
887,7
821,62
712,78
198,75
399,63
267,45
436,40
788,9
447,89
242,3
275,9
727,16
847,42
18,24
468,10
446,26
596,25
466,7
144,55
635,56
620,99
61,45
268,51
683,57
541,93
707,96
331,5
439,96
621,58
681,22
289,26
646,88
608,26
508,40
398,69
618,95
586,29
493,84
158,55
218,63
154,95
785,59
868,73
365,63
385,35
122,33
617,18
482,42
223,30
302,55
713,29
204,73
262,97
713,38
585,43
459,39
530,17
585,95
123,24
446,82
98,47
756,49
646,79
327,25
509,48
399,60
4,67
259,87
540,56
611,41
291,63
758,28
492,16
138,19
654,60
498,62
369,85
753,25
89,96
576,78
542,8
439,26
56,55
582,11
571,44
582,86
817,35
552,41
821,86
557,64
840,55
224,80
271,96
705,45
406,66
870,51
796,38
5,66
417,55
348,7
508,48
643,4
363,14
93,86
137,72
391,96
516,67
753,51
894,84
883,18
300,4
469,4
135,27
587,36
20,48
849,62
4,37
888,52
528,21
571,57
178,78
518,8
895,96
81,10
282,46
701,91
520,88
723,31
900,95
322,14
317,47
299,83
15,10
8,16
51,2
484,8
603,57
496,84
177,76
63,49
157,90
263,50
572,71
848,88
405,31
351,20
228,32
466,92
723,18
283,9
848,19
683,97
659,59
555,41
746,73
163,54
487,79
581,30
782,60
349,83
666,72
169,1
66,18
523,45
306,67
26,67
320,9
28,59
32,76
440,76
637,18
801,14
866,45
863,81
194,65
350,37
798,94
251,67
565,12
481,20
891,18
355,70
776,69
222,73
221,65
77,43
1,67
162,72
536,34
864,95
575,29
172,36
403,34
749,48
310,61
327,78
507,97
409,13
587,92
457,89
702,92
96,54
589,21
562,83
38,53
120,3
