X,Y,C
15,39,4
15,81,3
16,6,4
16,77,3
17,40,4
17,76,3
18,6,4
18,94,3
19,3,4
19,72,3
19,14,4
19,99,3
20,15,4
20,77,3
20,13,4
20,79,3
21,35,4
21,66,3
23,29,4
23,98,3
24,35,4
24,73,3
25,5,4
25,73,3
28,14,4
28,82,3
28,32,4
28,61,3
29,31,4
29,87,3
30,4,4
30,73,3
33,4,4
33,92,3
33,14,4
33,81,3
34,17,4
34,73,3
37,26,4
37,75,3
38,35,4
38,92,3
39,36,4
39,61,2
39,28,4
39,65,3
40,55,2
40,47,2
40,42,2
40,42,2
42,52,2
42,60,2
43,54,2
43,60,2
43,45,2
43,41,2
44,50,2
44,46,2
46,51,2
46,46,2
46,56,2
46,55,2
47,52,2
47,59,2
48,51,2
48,59,2
48,50,2
48,48,2
48,59,2
48,47,2
49,55,2
49,42,2
50,49,2
50,56,2
54,47,2
54,54,2
54,53,2
54,48,2
54,52,2
54,42,2
54,51,2
54,55,2
54,41,2
54,44,2
54,57,2
54,46,2
57,58,2
57,55,2
58,60,2
58,46,2
59,55,2
59,41,2
60,49,2
60,40,2
60,42,2
60,52,2
60,47,2
60,50,2
61,42,2
61,49,2
62,41,2
62,48,2
62,59,2
62,55,2
62,56,2
62,42,2
63,50,2
63,46,2
63,43,2
63,48,2
63,52,2
63,54,2
64,42,2
64,46,2
65,48,2
65,50,2
65,43,2
65,59,2
67,43,2
67,57,2
67,56,2
67,40,2
69,58,2
69,91,0
70,29,1
70,77,0
71,35,2
71,95,0
71,11,1
71,75,0
71,9,1
71,75,0
72,34,2
72,71,0
73,5,1
73,88,0
73,7,1
73,73,0
74,10,1
74,72,0
75,5,1
75,93,0
76,40,2
76,87,0
77,12,1
77,97,0
77,36,1
77,74,0
78,22,1
78,90,0
78,17,1
78,88,0
78,20,1
78,76,0
78,16,1
78,89,0
78,1,1
78,78,0
78,1,1
78,73,0
79,35,1
79,83,0
81,5,1
81,93,0
85,26,1
85,75,0
86,20,1
86,95,0
87,27,1
87,63,0
87,13,1
87,75,0
87,10,1
87,92,0
88,13,1
88,86,0
88,15,1
88,69,0
93,14,1
93,90,0
97,32,1
97,86,0
98,15,1
98,88,0
99,39,1
99,97,0
101,24,1
101,68,0
103,17,1
103,85,0
103,23,1
103,69,0
113,8,1
113,91,0
120,16,1
120,79,0
126,28,1
126,74,0
137,18,1
137,83,0
